Country,Clicks,Impressions,CTR,Position
United States,5,5561,0.09%,19.19
Nigeria,2,7,28.57%,36
Canada,1,76,1.32%,4.87
Australia,1,26,3.85%,2.85
Colombia,1,13,7.69%,4.23
United Kingdom,0,146,0%,8.12
India,0,74,0%,10.38
Brazil,0,50,0%,5.52
Turkey,0,39,0%,3.77
France,0,34,0%,3.76
Spain,0,22,0%,7.68
Germany,0,21,0%,4
Mexico,0,20,0%,6.45
South Korea,0,18,0%,3.78
Romania,0,16,0%,3.75
Italy,0,16,0%,5.44
Portugal,0,15,0%,9.73
Vietnam,0,15,0%,12.67
Malaysia,0,14,0%,2.71
Poland,0,14,0%,4.93
Ecuador,0,13,0%,6.31
South Africa,0,13,0%,42.62
Philippines,0,12,0%,18.5
Netherlands,0,11,0%,3
Argentina,0,11,0%,11.09
Dominican Republic,0,8,0%,3.38
Peru,0,8,0%,3.38
Bulgaria,0,8,0%,4
Pakistan,0,8,0%,5.38
Czechia,0,7,0%,3.29
Ukraine,0,7,0%,3.57
Singapore,0,7,0%,4.14
Belgium,0,7,0%,5.71
Algeria,0,7,0%,6.71
Indonesia,0,6,0%,6.5
Chile,0,5,0%,2
Ireland,0,5,0%,2.2
Macedonia,0,5,0%,2.6
Serbia,0,5,0%,2.6
United Arab Emirates,0,5,0%,3.2
Costa Rica,0,5,0%,3.8
Greece,0,5,0%,4.4
Saudi Arabia,0,5,0%,6
Egypt,0,5,0%,6.6
Albania,0,4,0%,2
Switzerland,0,4,0%,3.75
Slovenia,0,4,0%,3.75
Israel,0,4,0%,4
Taiwan,0,4,0%,5
Venezuela,0,4,0%,9.5
Iraq,0,4,0%,16.25
Japan,0,3,0%,2
Moldova,0,3,0%,3.67
Hungary,0,3,0%,4.67
Croatia,0,3,0%,6
Kosovo,0,3,0%,7
Morocco,0,3,0%,7.33
Sweden,0,3,0%,8.33
Austria,0,3,0%,29
Bosnia & Herzegovina,0,2,0%,2
Denmark,0,2,0%,2
Guatemala,0,2,0%,2
Slovakia,0,2,0%,2
Belarus,0,2,0%,2.5
New Zealand,0,2,0%,2.5
Barbados,0,2,0%,4
Finland,0,2,0%,4
Lithuania,0,2,0%,4
Hong Kong,0,2,0%,4.5
Russia,0,2,0%,5.5
Jordan,0,2,0%,6
Bangladesh,0,2,0%,9
Thailand,0,2,0%,15
Tunisia,0,2,0%,16.5
Bahamas,0,1,0%,2
Bolivia,0,1,0%,2
Côte d’Ivoire,0,1,0%,2
Cuba,0,1,0%,2
Estonia,0,1,0%,2
Georgia,0,1,0%,2
Ghana,0,1,0%,2
Kyrgyzstan,0,1,0%,2
Kuwait,0,1,0%,2
Latvia,0,1,0%,2
Nicaragua,0,1,0%,2
Congo - Kinshasa,0,1,0%,3
Guernsey,0,1,0%,3
Cambodia,0,1,0%,3
Malta,0,1,0%,3
El Salvador,0,1,0%,4
Jamaica,0,1,0%,5
Guyana,0,1,0%,6
St. Kitts & Nevis,0,1,0%,6
Trinidad & Tobago,0,1,0%,6
Uruguay,0,1,0%,6
St. Lucia,0,1,0%,7
Sri Lanka,0,1,0%,8
Kenya,0,1,0%,9
Libya,0,1,0%,9
Mongolia,0,1,0%,16
Puerto Rico,0,1,0%,17
Oman,0,1,0%,48
Kazakhstan,0,1,0%,70
