Country,Clicks,Impressions,CTR,Position
United States,2,4421,0.05%,20.74
Netherlands,1,7,14.29%,3.86
United Kingdom,0,106,0%,7.75
Canada,0,55,0%,6.04
India,0,42,0%,16.24
Philippines,0,12,0%,7.92
Singapore,0,11,0%,3.91
South Africa,0,10,0%,65
Australia,0,9,0%,8.33
France,0,8,0%,7.75
Turkey,0,7,0%,3.43
Brazil,0,7,0%,12.43
Colombia,0,6,0%,11.5
Indonesia,0,6,0%,16
Malaysia,0,5,0%,4
Germany,0,5,0%,8
Mexico,0,5,0%,9.6
New Zealand,0,4,0%,4
Bulgaria,0,4,0%,11.5
Vietnam,0,4,0%,24.75
China,0,3,0%,2
Hong Kong,0,3,0%,2
Israel,0,3,0%,3.67
United Arab Emirates,0,3,0%,5
Peru,0,3,0%,8
Switzerland,0,3,0%,23.67
Algeria,0,3,0%,31.67
Ireland,0,2,0%,4
South Korea,0,2,0%,7.5
Spain,0,2,0%,11.5
Italy,0,2,0%,12
Ukraine,0,2,0%,15
Ecuador,0,2,0%,18.5
Russia,0,2,0%,24
Thailand,0,2,0%,26
Belgium,0,2,0%,39.5
Cuba,0,1,0%,1
Lithuania,0,1,0%,1
Denmark,0,1,0%,2
Japan,0,1,0%,2
Argentina,0,1,0%,3
Chile,0,1,0%,4
Macedonia,0,1,0%,4
Portugal,0,1,0%,4
Trinidad & Tobago,0,1,0%,5
Barbados,0,1,0%,6
Bahamas,0,1,0%,7
Dominican Republic,0,1,0%,7
Bahrain,0,1,0%,9
Puerto Rico,0,1,0%,9
Poland,0,1,0%,10
Syria,0,1,0%,10
Nicaragua,0,1,0%,33
Iraq,0,1,0%,38
Venezuela,0,1,0%,46
Morocco,0,1,0%,66
