Country,Clicks,Impressions,CTR,Position
United States,10,3100,0.32%,16.17
Canada,0,82,0%,2.88
Brazil,0,62,0%,4.73
India,0,62,0%,8.05
France,0,34,0%,3
United Kingdom,0,32,0%,7.31
South Korea,0,27,0%,3.44
Indonesia,0,25,0%,3.28
Mexico,0,21,0%,4.29
Germany,0,19,0%,2.68
Philippines,0,18,0%,6
Vietnam,0,18,0%,7.5
Colombia,0,17,0%,5.18
Italy,0,16,0%,4.19
Japan,0,16,0%,4.88
South Africa,0,15,0%,21.73
Malaysia,0,13,0%,2.85
Spain,0,13,0%,3.08
Bangladesh,0,12,0%,4.08
Turkey,0,12,0%,7.25
Poland,0,11,0%,3.36
Ukraine,0,9,0%,2.67
Australia,0,9,0%,4
Algeria,0,9,0%,6.33
Argentina,0,9,0%,6.44
Peru,0,8,0%,3.25
Pakistan,0,7,0%,4
Singapore,0,7,0%,4.14
Taiwan,0,7,0%,5.57
Kenya,0,7,0%,9
Portugal,0,6,0%,2.67
Ecuador,0,6,0%,3.5
Sweden,0,6,0%,3.5
United Arab Emirates,0,6,0%,4.5
Nepal,0,6,0%,6.17
Chile,0,5,0%,2.2
Iraq,0,5,0%,3.2
Russia,0,5,0%,3.2
Belgium,0,5,0%,4.8
Tunisia,0,5,0%,6.8
Dominican Republic,0,4,0%,1.75
Czechia,0,4,0%,4
Netherlands,0,4,0%,4.25
Ireland,0,4,0%,4.5
Lithuania,0,4,0%,4.75
Egypt,0,4,0%,8.75
Nigeria,0,4,0%,22.5
Greece,0,3,0%,2.33
Lebanon,0,3,0%,3
Panama,0,3,0%,4.33
Uruguay,0,3,0%,4.33
Israel,0,3,0%,5.33
Kosovo,0,3,0%,5.67
Thailand,0,3,0%,16.67
Saudi Arabia,0,3,0%,20
New Zealand,0,2,0%,1
Slovenia,0,2,0%,2
Morocco,0,2,0%,2.5
Congo - Kinshasa,0,2,0%,3
Romania,0,2,0%,3
Trinidad & Tobago,0,2,0%,3.5
Ghana,0,2,0%,4
Ethiopia,0,2,0%,4.5
Bolivia,0,2,0%,5.5
Kazakhstan,0,2,0%,6
Bulgaria,0,2,0%,6.5
Georgia,0,2,0%,7
Switzerland,0,2,0%,7.5
Iran,0,2,0%,11.5
Albania,0,2,0%,12
Venezuela,0,2,0%,25
Aruba,0,1,0%,2
Austria,0,1,0%,2
Bahrain,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,2
Belarus,0,1,0%,2
Costa Rica,0,1,0%,2
Hong Kong,0,1,0%,2
Jordan,0,1,0%,2
Madagascar,0,1,0%,2
Norway,0,1,0%,2
Armenia,0,1,0%,3
Haiti,0,1,0%,3
Hungary,0,1,0%,3
Mauritius,0,1,0%,3
Slovakia,0,1,0%,3
China,0,1,0%,6
Bahamas,0,1,0%,7
Cyprus,0,1,0%,8
Estonia,0,1,0%,9
El Salvador,0,1,0%,9
Azerbaijan,0,1,0%,10
Jamaica,0,1,0%,10
Paraguay,0,1,0%,10
Tanzania,0,1,0%,10
Benin,0,1,0%,40
Syria,0,1,0%,43
