Country,Clicks,Impressions,CTR,Position
United States,1,3975,0.03%,21.4
United Kingdom,0,278,0%,4.84
Canada,0,53,0%,4.47
India,0,28,0%,19.36
France,0,16,0%,5.31
Australia,0,12,0%,7.25
South Africa,0,12,0%,52.17
Turkey,0,11,0%,5
Malaysia,0,10,0%,7.9
Italy,0,9,0%,12.22
Algeria,0,8,0%,4.38
Morocco,0,7,0%,10.43
Ireland,0,6,0%,6
Netherlands,0,6,0%,6.83
Romania,0,5,0%,4.6
Spain,0,5,0%,6.4
New Zealand,0,5,0%,6.8
Germany,0,5,0%,16.4
Mexico,0,4,0%,3.5
Barbados,0,4,0%,5
Philippines,0,4,0%,9.25
Indonesia,0,4,0%,9.75
Bahamas,0,3,0%,2
Ecuador,0,3,0%,2.33
Trinidad & Tobago,0,3,0%,3.33
Chile,0,3,0%,4.33
Dominican Republic,0,3,0%,6
Argentina,0,3,0%,6.67
Jordan,0,2,0%,3.5
United Arab Emirates,0,2,0%,4
Denmark,0,2,0%,4
Austria,0,2,0%,4.5
Pakistan,0,2,0%,5
Peru,0,2,0%,5
Sweden,0,2,0%,6.5
Japan,0,2,0%,7.5
Colombia,0,2,0%,9
Thailand,0,2,0%,21.5
Switzerland,0,2,0%,24.5
Brazil,0,2,0%,58
Belgium,0,1,0%,1
Bulgaria,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,2
Greece,0,1,0%,2
Paraguay,0,1,0%,2
Qatar,0,1,0%,2
Portugal,0,1,0%,3
Slovakia,0,1,0%,3
Puerto Rico,0,1,0%,4
Cameroon,0,1,0%,5
Grenada,0,1,0%,5
Iran,0,1,0%,5
Bermuda,0,1,0%,7
Egypt,0,1,0%,7
Taiwan,0,1,0%,8
Bangladesh,0,1,0%,11
Jamaica,0,1,0%,11
Singapore,0,1,0%,11
South Korea,0,1,0%,16
