Country,Clicks,Impressions,CTR,Position
United States,125,48179,0.26%,19.6
Canada,4,988,0.4%,4.34
India,3,517,0.58%,12.66
Australia,3,168,1.79%,4.15
Germany,2,69,2.9%,5.78
Philippines,1,81,1.23%,7.42
Argentina,1,64,1.56%,11.33
Singapore,1,63,1.59%,4.48
Ireland,1,22,4.55%,5.77
Uruguay,1,10,10%,10.7
Ghana,1,3,33.33%,4.33
United Kingdom,0,391,0%,13.39
Brazil,0,193,0%,8.36
South Africa,0,124,0%,32.02
Mexico,0,109,0%,6.14
France,0,96,0%,7.89
Vietnam,0,86,0%,11.58
Netherlands,0,82,0%,2.87
Malaysia,0,80,0%,4.58
Indonesia,0,68,0%,5.28
Spain,0,65,0%,9.46
Japan,0,56,0%,5.39
South Korea,0,53,0%,6.51
Bangladesh,0,50,0%,13.04
Italy,0,43,0%,8.47
Colombia,0,41,0%,10
Turkey,0,37,0%,11.68
Poland,0,35,0%,5.2
Russia,0,34,0%,9.15
Chile,0,33,0%,4.79
Switzerland,0,32,0%,16.16
Pakistan,0,31,0%,10.32
Ukraine,0,29,0%,8.24
Peru,0,28,0%,7.5
Hong Kong,0,27,0%,4.33
United Arab Emirates,0,24,0%,3.92
China,0,24,0%,7.25
Belgium,0,23,0%,4.43
Sweden,0,22,0%,9.18
Taiwan,0,21,0%,7.1
Portugal,0,18,0%,8.61
Ecuador,0,17,0%,4.35
New Zealand,0,17,0%,8.35
Iraq,0,16,0%,14.06
Morocco,0,16,0%,15.19
Algeria,0,15,0%,6.8
Kenya,0,15,0%,7.93
Israel,0,14,0%,9.43
Romania,0,13,0%,7.38
Hungary,0,12,0%,11.5
Bulgaria,0,12,0%,14.5
Venezuela,0,12,0%,19.83
Thailand,0,11,0%,11.64
Nigeria,0,11,0%,11.73
Egypt,0,11,0%,13.18
Czechia,0,9,0%,5.22
Dominican Republic,0,9,0%,5.78
Tunisia,0,9,0%,9.67
Norway,0,9,0%,13.33
Saudi Arabia,0,9,0%,18.67
Nepal,0,8,0%,5.25
Greece,0,8,0%,6
Austria,0,8,0%,6.75
Iran,0,8,0%,8.62
Panama,0,8,0%,14.75
Costa Rica,0,7,0%,4.43
Lebanon,0,7,0%,11.71
Kazakhstan,0,7,0%,13.43
Denmark,0,6,0%,4.5
El Salvador,0,6,0%,7.33
Georgia,0,6,0%,15.33
Paraguay,0,6,0%,19.17
Bolivia,0,6,0%,25.5
Puerto Rico,0,5,0%,2.8
Bosnia & Herzegovina,0,5,0%,3
Barbados,0,5,0%,5.8
Lithuania,0,5,0%,8
Croatia,0,5,0%,13.8
Ethiopia,0,5,0%,16
Syria,0,5,0%,16.2
Macedonia,0,4,0%,3.75
Trinidad & Tobago,0,4,0%,4
Kosovo,0,4,0%,4.75
Serbia,0,4,0%,12
Slovakia,0,4,0%,15
Nicaragua,0,3,0%,2.67
Belarus,0,3,0%,3.33
Palestine,0,3,0%,3.33
Congo - Kinshasa,0,3,0%,5.33
Bahamas,0,3,0%,6.67
Estonia,0,3,0%,7
Slovenia,0,3,0%,8
Cuba,0,3,0%,8.67
Cyprus,0,3,0%,9.67
Finland,0,3,0%,9.67
Jamaica,0,3,0%,10
Qatar,0,3,0%,16.33
Honduras,0,3,0%,17
Myanmar (Burma),0,3,0%,21.33
Kuwait,0,2,0%,1
Armenia,0,2,0%,2
Cayman Islands,0,2,0%,2
Iceland,0,2,0%,4
Cambodia,0,2,0%,5.5
Uzbekistan,0,2,0%,6.5
Guatemala,0,2,0%,8
Angola,0,2,0%,10
Jordan,0,2,0%,10
Albania,0,2,0%,12
Luxembourg,0,2,0%,14.5
Malta,0,2,0%,16.5
Azerbaijan,0,2,0%,18
Aruba,0,1,0%,2
Bahrain,0,1,0%,2
Bermuda,0,1,0%,2
Madagascar,0,1,0%,2
Mongolia,0,1,0%,2
Mauritania,0,1,0%,2
French Polynesia,0,1,0%,2
Sudan,0,1,0%,2
Suriname,0,1,0%,2
Gibraltar,0,1,0%,3
Haiti,0,1,0%,3
Mauritius,0,1,0%,3
Unknown Region,0,1,0%,3
Burkina Faso,0,1,0%,6
Rwanda,0,1,0%,7
Swaziland,0,1,0%,7
Gabon,0,1,0%,9
Guyana,0,1,0%,9
Timor-Leste,0,1,0%,10
Tanzania,0,1,0%,10
Uganda,0,1,0%,11
Zimbabwe,0,1,0%,11
Brunei,0,1,0%,24
Oman,0,1,0%,30
Yemen,0,1,0%,32
Moldova,0,1,0%,35
Benin,0,1,0%,40
Botswana,0,1,0%,43
