Country,Clicks,Impressions,CTR,Position
United States,5,3059,0.16%,19.92
India,1,57,1.75%,7.07
United Arab Emirates,1,5,20%,4
United Kingdom,0,166,0%,7.28
Canada,0,81,0%,3.6
France,0,26,0%,4.65
Australia,0,22,0%,3.41
Spain,0,19,0%,4.37
Brazil,0,19,0%,5
Philippines,0,16,0%,4.81
Malaysia,0,15,0%,2.73
Germany,0,14,0%,6.29
Indonesia,0,13,0%,6.69
Mexico,0,12,0%,6.58
Turkey,0,12,0%,6.75
Singapore,0,11,0%,3.27
South Africa,0,9,0%,51
Poland,0,8,0%,3
Italy,0,8,0%,3.88
Vietnam,0,7,0%,13.71
Netherlands,0,6,0%,5.5
South Korea,0,6,0%,6.5
Ukraine,0,5,0%,5.4
Thailand,0,5,0%,14.4
Macedonia,0,4,0%,4
Hungary,0,4,0%,5.5
Hong Kong,0,4,0%,8.5
Greece,0,3,0%,3.33
Morocco,0,3,0%,4.33
Japan,0,3,0%,5.67
Sweden,0,3,0%,5.67
Ireland,0,3,0%,7.67
Colombia,0,3,0%,14.33
Dominican Republic,0,3,0%,16.67
Austria,0,2,0%,2
Bangladesh,0,2,0%,3
Argentina,0,2,0%,3.5
Taiwan,0,2,0%,4
Bahrain,0,2,0%,4.5
Latvia,0,2,0%,4.5
Nigeria,0,2,0%,4.5
Norway,0,2,0%,4.5
Romania,0,2,0%,5
Armenia,0,2,0%,6.5
Venezuela,0,2,0%,10
Belgium,0,1,0%,2
Belarus,0,1,0%,2
Belize,0,1,0%,2
Barbados,0,1,0%,2
China,0,1,0%,2
Costa Rica,0,1,0%,2
Czechia,0,1,0%,2
Guernsey,0,1,0%,2
Guatemala,0,1,0%,2
Honduras,0,1,0%,2
Iceland,0,1,0%,2
Lithuania,0,1,0%,2
Malta,0,1,0%,2
Sudan,0,1,0%,2
Serbia,0,1,0%,2
Lebanon,0,1,0%,3
Slovakia,0,1,0%,3
Tunisia,0,1,0%,3
Uruguay,0,1,0%,3
Slovenia,0,1,0%,4
Azerbaijan,0,1,0%,5
Luxembourg,0,1,0%,5
El Salvador,0,1,0%,5
Switzerland,0,1,0%,6
Denmark,0,1,0%,6
Réunion,0,1,0%,6
Egypt,0,1,0%,7
Oman,0,1,0%,7
Ghana,0,1,0%,8
Portugal,0,1,0%,8
Russia,0,1,0%,9
Georgia,0,1,0%,10
U.S. Virgin Islands,0,1,0%,10
Bulgaria,0,1,0%,11
Cambodia,0,1,0%,11
