Country,Clicks,Impressions,CTR,Position
United States,8,2827,0.28%,18.03
Hong Kong,1,2,50%,5.5
Canada,0,36,0%,6.78
United Kingdom,0,21,0%,8.62
India,0,14,0%,13
South Africa,0,14,0%,18.07
Indonesia,0,12,0%,19.75
Australia,0,10,0%,3.3
Japan,0,5,0%,3.8
Singapore,0,4,0%,3.25
Pakistan,0,4,0%,7
South Korea,0,4,0%,14
Malaysia,0,3,0%,3.67
Romania,0,3,0%,3.67
Germany,0,3,0%,5.67
Swaziland,0,3,0%,8
Russia,0,3,0%,9
Belgium,0,3,0%,10
Thailand,0,3,0%,12
Philippines,0,3,0%,19.33
Spain,0,2,0%,5.5
Lithuania,0,2,0%,6
Mexico,0,2,0%,6
Switzerland,0,2,0%,8.5
Bangladesh,0,2,0%,9.5
Turkey,0,2,0%,10.5
United Arab Emirates,0,1,0%,2
Austria,0,1,0%,2
Hungary,0,1,0%,2
Ireland,0,1,0%,2
Cambodia,0,1,0%,2
Slovenia,0,1,0%,2
Taiwan,0,1,0%,2
Uruguay,0,1,0%,3
China,0,1,0%,9
Netherlands,0,1,0%,9
Ukraine,0,1,0%,9
Morocco,0,1,0%,17
France,0,1,0%,39
Colombia,0,1,0%,40
Bolivia,0,1,0%,43
Egypt,0,1,0%,46
Nepal,0,1,0%,46
