Country,Clicks,Impressions,CTR,Position
United States,14,2943,0.48%,18.11
Uruguay,1,2,50%,15.5
Ireland,1,1,100%,3
Canada,0,99,0%,3.55
India,0,38,0%,19.05
United Kingdom,0,27,0%,16.85
Brazil,0,17,0%,8.18
Mexico,0,16,0%,5.75
Malaysia,0,15,0%,4.2
Australia,0,13,0%,3.23
Indonesia,0,11,0%,2.64
France,0,10,0%,8
South Africa,0,10,0%,37.9
Poland,0,7,0%,4.86
Russia,0,7,0%,5
Spain,0,7,0%,6.29
Philippines,0,7,0%,13
Vietnam,0,7,0%,13.86
Turkey,0,6,0%,15.5
Germany,0,5,0%,2
Singapore,0,5,0%,3.2
Belgium,0,5,0%,4
China,0,5,0%,8.6
Bangladesh,0,5,0%,22.2
Hong Kong,0,4,0%,4
Chile,0,4,0%,5.5
Ecuador,0,3,0%,1.33
Argentina,0,3,0%,2
Netherlands,0,3,0%,2
Kenya,0,3,0%,3.33
Venezuela,0,3,0%,4
Japan,0,3,0%,4.67
South Korea,0,3,0%,6.67
Switzerland,0,3,0%,10.67
Colombia,0,3,0%,12
United Arab Emirates,0,2,0%,2.5
Hungary,0,2,0%,4.5
Algeria,0,2,0%,5
Sweden,0,2,0%,6.5
Costa Rica,0,2,0%,7
Nigeria,0,2,0%,7.5
Portugal,0,2,0%,8
Ethiopia,0,2,0%,33
Armenia,0,1,0%,1
Israel,0,1,0%,1
Peru,0,1,0%,1
Taiwan,0,1,0%,1
Bermuda,0,1,0%,2
Honduras,0,1,0%,2
Iceland,0,1,0%,2
Pakistan,0,1,0%,2
Puerto Rico,0,1,0%,2
El Salvador,0,1,0%,6
Bosnia & Herzegovina,0,1,0%,7
Cuba,0,1,0%,7
Macedonia,0,1,0%,7
Slovakia,0,1,0%,7
Bulgaria,0,1,0%,8
Czechia,0,1,0%,8
Georgia,0,1,0%,8
Cambodia,0,1,0%,8
Croatia,0,1,0%,9
Dominican Republic,0,1,0%,10
Estonia,0,1,0%,10
Timor-Leste,0,1,0%,10
Ukraine,0,1,0%,10
Austria,0,1,0%,14
Italy,0,1,0%,16
Luxembourg,0,1,0%,18
Angola,0,1,0%,19
Moldova,0,1,0%,35
