Country,Clicks,Impressions,CTR,Position
United States,15,6187,0.24%,30.37
Canada,1,123,0.81%,3.86
Australia,1,23,4.35%,4.26
Argentina,1,7,14.29%,9.71
Singapore,1,4,25%,3.25
Ghana,1,1,100%,5
India,0,78,0%,11.09
United Kingdom,0,40,0%,7.12
France,0,18,0%,15.5
Brazil,0,14,0%,4.86
South Africa,0,13,0%,21.77
Germany,0,11,0%,10.73
Italy,0,11,0%,14.27
Netherlands,0,10,0%,3.5
Mexico,0,10,0%,4
Japan,0,8,0%,4.75
Vietnam,0,8,0%,5.5
Philippines,0,7,0%,4.43
Spain,0,7,0%,7.57
Sweden,0,7,0%,18.86
Indonesia,0,5,0%,5.8
New Zealand,0,5,0%,7
Bulgaria,0,5,0%,9
Poland,0,5,0%,9.6
Romania,0,4,0%,9
Switzerland,0,4,0%,13.25
Chile,0,3,0%,2.67
South Korea,0,3,0%,4
Portugal,0,3,0%,5.67
United Arab Emirates,0,3,0%,7
Ireland,0,3,0%,8.33
Hungary,0,3,0%,27.67
Saudi Arabia,0,2,0%,2
Peru,0,2,0%,2.5
Malaysia,0,2,0%,3.5
Pakistan,0,2,0%,4
Israel,0,2,0%,4.5
Trinidad & Tobago,0,2,0%,4.5
Hong Kong,0,2,0%,5.5
China,0,2,0%,7
Nigeria,0,2,0%,8.5
Colombia,0,1,0%,1
Palestine,0,1,0%,1
Cayman Islands,0,1,0%,2
Mongolia,0,1,0%,2
Sudan,0,1,0%,2
Uruguay,0,1,0%,2
Kosovo,0,1,0%,2
Belgium,0,1,0%,3
Macedonia,0,1,0%,3
Malta,0,1,0%,3
Thailand,0,1,0%,3
Ecuador,0,1,0%,4
Austria,0,1,0%,5
Kenya,0,1,0%,5
Algeria,0,1,0%,6
El Salvador,0,1,0%,6
Greece,0,1,0%,7
Norway,0,1,0%,7
Rwanda,0,1,0%,7
Costa Rica,0,1,0%,9
Gabon,0,1,0%,9
Croatia,0,1,0%,9
Congo - Kinshasa,0,1,0%,10
Egypt,0,1,0%,11
Ukraine,0,1,0%,18
Finland,0,1,0%,21
Bolivia,0,1,0%,42
Slovakia,0,1,0%,44
Panama,0,1,0%,49
